subjectROR	subjectLabel	predicate	predicateLabel	objectROR	objectLabel
000cytz87	Weatherford (Switzerland)	P527	has part(s)	00r2mkt64	Weatherford (Norway)
000cytz87	Weatherford (Switzerland)	P527	has part(s)	020h5rq76	Weatherford (United Kingdom)
000cytz87	Weatherford (Switzerland)	P527	has part(s)	03td4yf75	Weatherford (United States)
000d5zy28	Institut de Chimie Radicalaire	P361	part of	02cte4b68	Institut de Chimie
000d5zy28	Institut de Chimie Radicalaire	P361	part of	035xkbk20	Aix-Marseille University
000dbcc61	CEA LIST	P361	part of	02ggzyd20	Direction de la Recherche Technologique
000dfsq72	Office for Learning and Teaching	P361	part of	05nne8c43	Department of Education
000e0be47	Northwestern University	P527	has part(s)	004x7d471	Center for Light Energy Activated Redox Processes
000ed3w25	St Vincent's Hospital Sydney	P527	has part(s)	01b3dvp57	Garvan Institute of Medical Research
000ehr937	Laboratoire de Météorologie Dynamique	P361	part of	02en5vm52	Sorbonne University
000ehr937	Laboratoire de Météorologie Dynamique	P361	part of	02nwvxz07	École des Ponts ParisTech
000ehr937	Laboratoire de Météorologie Dynamique	P361	part of	04kdfz702	Institut National des Sciences de l'Univers
000ehr937	Laboratoire de Météorologie Dynamique	P361	part of	05a0dhs15	École Normale Supérieure - PSL
000ehr937	Laboratoire de Météorologie Dynamique	P361	part of	05hy3tk52	École Polytechnique
000en4h24	Panasonic (Germany)	P361	part of	011tm7n37	Panasonic (Japan)
000ep5m48	Instituto de Salud Pública de Navarra	P361	part of	005dknr06	Servicio Navarro de Salud
000etmf12	Sequans Communications (France)	P527	has part(s)	00wjam130	Sequans Communications (United Kingdom)
000f32327	Saint Vincent Hospital	P361	part of	057fg2a35	Saint Vincent Health System
000fxgx19	SUNY Polytechnic Institute	P361	part of	01q1z8k08	State University of New York
000ge9g13	Athens Technical College	P361	part of	00k9r5g94	Technical College System of Georgia
000gm1k91	John Wiley & Sons (Germany)	P361	part of	02xe89706	John Wiley & Sons (United States)
000gm9x69	National Institute of Technology, Hakodate College	P361	part of	02xqkcw08	National Institute of Technology
000gzpv52	Arcadis (Switzerland)	P361	part of	03hqjqp33	Arcadis (Netherlands)
000h6jb29	Helmholtz Centre for Environmental Research	P361	part of	0281dp749	Helmholtz Association of German Research Centres
000k1q888	Netherlands Institute for Radio Astronomy	P361	part of	04jsz6e67	Dutch Research Council
000kfx178	Calderstones Partnership NHS Foundation Trust	P361	part of	03vtyzs10	Mersey Care NHS Trust
000kjm556	General Administration of Quality Supervision, Inspection and Quarantine	P361	part of	02fzqav45	State Council of the People's Republic of China
000kjq947	Department of Space	P527	has part(s)	00cwrns71	Indian Space Research Organisation
000mgxg22	Universidad Anáhuac Querétaro	P361	part of	039bhhz46	Anahuac University Network
000mza046	European Incoherent Scatter Scientific Association	P361	part of	02r30yj10	European Incoherent Scatter Scientific Association
000n0fx93	Laboratory Receptors and Membrane Ion Channels	P361	part of	020jynt45	Centre Pays de la Loire
000n1xh78	Biopathologie de la myéline, neuroprotection et stratégies thérapeutiques	P361	part of	00pg6eq24	University of Strasbourg
000n1xh78	Biopathologie de la myéline, neuroprotection et stratégies thérapeutiques	P361	part of	02vjkv261	Inserm
000n8re15	Hospital San Juan de la Cruz	P361	part of	03q4c3e69	Andalusian Health Service
000ncdv93	Swedish National Board of Fisheries	P361	part of	00ht4dp10	Swedish Agency for Marine and Water Management
000nfmp17	Centre de Recherche sur l'Amérique Pré-hispanique	P361	part of	02en5vm52	Sorbonne University
000nhpy59	Instituto de Neurociencias de Alicante	P361	part of	01azzms13	Miguel Hernandez University
000nhpy59	Instituto de Neurociencias de Alicante	P361	part of	02gfc7t72	Spanish National Research Council
000nhq538	Institut Necker Enfants Malades	P361	part of	00rydyx93	Institut des Sciences Biologiques
000nhq538	Institut Necker Enfants Malades	P361	part of	02vjkv261	Inserm
000nhq538	Institut Necker Enfants Malades	P361	part of	05f82e368	Université Paris Cité
000nw5c60	St. John's Pleasant Valley Hospital	P361	part of	05c9r4685	Dignity Health
000p29f53	Laboratory for Optics & Biosciences	P361	part of	00z54nq84	Institut de Physique
000p29f53	Laboratory for Optics & Biosciences	P361	part of	02vjkv261	Inserm
000p29f53	Laboratory for Optics & Biosciences	P361	part of	05hy3tk52	École Polytechnique
000p6bx44	Anglo American (Canada)	P361	part of	0231mbz86	Anglo American (United Kingdom)
000pfrh90	Baptist Hospital of Miami	P361	part of	00v47pv90	Baptist Health South Florida
