subjectROR	subjectLabel	predicate	predicateLabel	objectROR	objectLabel
05mk2jr28		P361	part of	01tmp8f25	Universidad Nacional Autónoma de México
05w1nn565	Ministry of the Interior	P361	part of	027acbb13	Government of the Czech Republic
03tv0az53	Fairfield General Hospital	P361	part of	02wnqcb97	National Health Service
01xhmje49	Birmingham Dental Hospital	P361	part of	02wnqcb97	National Health Service
03wp25384	Common Language Resources and Technology Infrastructure	P527	has part(s)	001jk8698	Árni Magnússon Institute for Icelandic Studies
01z5jvj74	ZNA Middelheim Hospital	P361	part of	05dpzfc16	Ziekenhuisnetwerk Antwerpen Stuivenberg
00c8t7d47	Gülhane Askerî Tıp Akademisi	P361	part of	03k7bde87	Sağlık Bilimleri Üniversitesi
05v5aya38	West Mendip Community Hospital	P361	part of	02wnqcb97	National Health Service
04wsqd844	Direction Générale de l'Armement	P361	part of	025er3q23	Ministère de la Défense
04dgdk605	Swedish National Forensic Centre	P361	part of	04xjm9m94	Swedish National Police Board
035dsb084	Wigner Research Centre for Physics	P361	part of	04w6pnc49	Hungarian Research Network
05e9bn444	Institute of Mathematical Sciences	P361	part of	02p0gd045	Universidad Complutense de Madrid
044s61914	Centre Hospitalier Universitaire de Liège	P361	part of	00afp2z80	University of Liège
01vw4c203		P361	part of	03x94j517	Medical Research Council
04fme8709	Center for Free-Electron Laser Science	P361	part of	01hhn8329	Max Planck Society
05ehe8t08	UC Davis Children's Hospital	P361	part of	05rrcem69	University of California, Davis
01zbzxe52	Royal South Hants Hospital	P361	part of	02wnqcb97	National Health Service
04ny9jk61	Clevedon Hospital	P361	part of	02wnqcb97	National Health Service
03h86rm10		P361	part of	00nt41z93	University of Aveiro
03zeg3732	Horton General Hospital	P361	part of	02wnqcb97	National Health Service
04bmgpj29	Walsall Manor Hospital	P361	part of	02wnqcb97	National Health Service
05xxfer42	Universidade Lusófona	P361	part of	03fyevk41	
05j1kzp43	Gilder Lehrman Institute of American History	P361	part of	03v76x132	Yale University
04xjm9m94	Swedish National Police Board	P361	part of	051y11y24	Ministry of Justice
01ck0pr88	Bradford Royal Infirmary	P361	part of	02wnqcb97	National Health Service
02kzqn938	University of Lille	P527	has part(s)	007wbr017	
04eg5s337	Mediterranean Universities Union	P527	has part(s)	04yhfw911	
01226dv09	University Hospital Regensburg	P361	part of	01eezs655	University of Regensburg
03zmfa837	Rochester Institute of Technology - Dubai	P361	part of	00v4yb702	Rochester Institute of Technology
05n8t2628	University of Washington Tacoma	P361	part of	00cvxb145	University of Washington
042rh9p26	IMT Nord Europe	P361	part of	03btvgn05	University of Lille Nord de France
036f4sz05	Łukasiewicz Research Network	P527	has part(s)	00g4qvs35	Institute of Logistics and Warehousing
04eg5s337	Mediterranean Universities Union	P527	has part(s)	05gd1cs26	Doha Institute for Graduate Studies
04eg5s337	Mediterranean Universities Union	P527	has part(s)	02zp1rf72	
04bw0hg47	Faculty of Design	P361	part of	05xefg082	University of Primorska
